operacao,custo,total,media
333,631,207517,623.1741741741741
334,634,208151,623.2065868263473
335,640,208791,623.2567164179104
336,631,209422,623.2797619047619
337,638,210060,623.3234421364986
338,636,210696,623.3609467455622
339,631,211327,623.3834808259587
340,630,211957,623.4029411764706
341,631,212588,623.4252199413489
342,630,213218,623.4444444444445
343,631,213849,623.466472303207
344,630,214479,623.4854651162791
345,638,215117,623.527536231884
346,631,215748,623.5491329479769
347,631,216379,623.5706051873199
348,630,217009,623.5890804597701
349,632,217641,623.6131805157593
350,642,218283,623.6657142857143
351,631,218914,623.6866096866097
352,630,219544,623.7045454545455
353,630,220174,623.7223796033994
354,632,220806,623.7457627118644
355,630,221436,623.7633802816902
356,631,222067,623.7837078651686
357,631,222698,623.8039215686274
358,630,223328,623.8212290502794
359,642,223970,623.8718662952646
360,644,224614,623.9277777777778
361,638,225252,623.9667590027701
362,630,225882,623.9834254143647
363,631,226513,624.0027548209366
364,633,227146,624.0274725274726
365,630,227776,624.0438356164384
366,632,228408,624.0655737704918
367,630,229038,624.0817438692098
368,632,229670,624.1032608695652
369,631,230301,624.1219512195122
370,631,230932,624.1405405405405
371,638,231570,624.177897574124
372,633,232203,624.2016129032259
373,631,232834,624.2198391420911
374,631,233465,624.2379679144385
375,630,234095,624.2533333333333
376,2,234097,622.5984042553191
377,635,234732,622.631299734748
378,632,235364,622.6560846560847
379,639,236003,622.6992084432718
380,2,236005,621.0657894736842
381,632,236637,621.0944881889764
382,630,237267,621.1178010471205
383,630,237897,621.1409921671018
384,635,238532,621.1770833333334
385,639,239171,621.2233766233767
386,630,239801,621.2461139896373
387,630,240431,621.2687338501293
388,641,241072,621.319587628866
389,634,241706,621.3521850899743
390,630,242336,621.374358974359
391,2,242338,619.7902813299232
392,631,242969,619.8188775510204
393,631,243600,619.8473282442748
394,634,244234,619.8832487309645
395,633,244867,619.9164556962025
396,631,245498,619.9444444444445
397,2,245500,618.3879093198992
398,631,246131,618.4195979899497
399,632,246763,618.453634085213
400,2,246765,616.9125
401,630,247395,616.9451371571072
402,2,247397,615.4154228855722
403,631,248028,615.4540942928039
404,630,248658,615.490099009901
405,644,249302,615.5604938271605
406,631,249933,615.5985221674877
407,630,250563,615.6339066339067
408,645,251208,615.7058823529412
409,630,251838,615.7408312958436
410,660,252498,615.8487804878049
411,639,253137,615.9051094890511
412,641,253778,615.9660194174758
413,2,253780,614.4794188861986
414,631,254411,614.5193236714975
415,640,255051,614.5807228915662
416,2,255053,613.1081730769231
417,664,255717,613.2302158273382
418,632,256349,613.2751196172248
419,630,256979,613.3150357995227
420,630,257609,613.3547619047619
421,632,258241,613.3990498812351
422,631,258872,613.4407582938388
423,2,258874,611.9952718676122
424,639,259513,612.058962264151
425,635,260148,612.1129411764706
426,637,260785,612.1713615023474
427,632,261417,612.2177985948477
428,631,262048,612.2616822429907
429,646,262694,612.3403263403263
430,630,263324,612.3813953488373
431,652,263976,612.4733178654292
432,634,264610,612.5231481481482
433,630,265240,612.5635103926097
434,631,265871,612.6059907834101
435,651,266522,612.6942528735632
436,639,267161,612.7545871559633
437,631,267792,612.7963386727689
438,630,268422,612.8356164383562
439,630,269052,612.874715261959
440,2,269054,611.4863636363636
441,632,269686,611.5328798185941
442,630,270316,611.5746606334842
443,631,270947,611.6185101580136
444,632,271579,611.6644144144144
445,630,272209,611.705617977528
446,2,272211,610.3385650224216
447,630,272841,610.3825503355705
448,631,273472,610.4285714285714
449,631,274103,610.4743875278397
450,632,274735,610.5222222222222
451,2,274737,609.1729490022173
452,650,275387,609.2632743362832
453,641,276028,609.3333333333334
454,630,276658,609.3788546255506
455,660,277318,609.4901098901099
